date,y
1960-12-30,48013504
1961-12-30,49362843
1962-12-30,50752157
1963-12-30,52202007
1964-12-30,53741716
1965-12-30,55385112
1966-12-30,57157654
1967-12-30,59034249
1968-12-30,60918454
1969-12-30,62679765
1970-12-30,64232482
1971-12-30,65531633
1972-12-30,66625705
1973-12-30,67637530
1974-12-30,68742233
1975-12-30,70066301
1976-12-30,71652381
1977-12-30,73463584
1978-12-30,75450032
1979-12-30,77529045
1980-12-30,79639491
1981-12-30,81767515
1982-12-30,83932127
1983-12-30,86142495
1984-12-30,88416521
1985-12-30,90764183
1986-12-30,93187603
1987-12-30,95671163
1988-12-30,98186350
1989-12-30,100695497
1990-12-30,103171956
1991-12-30,105599127
1992-12-30,107983704
1993-12-30,110350639
1994-12-30,112737683
1995-12-30,115169930
1996-12-30,117649932
1997-12-30,120160564
1998-12-30,122682815
1999-12-30,125189651
2000-12-30,127657854
2001-12-30,130088702
2002-12-30,132478086
2003-12-30,134791603
2004-12-30,136986432
2005-12-30,139035505
2006-12-30,140921167
2007-12-30,142660376
2008-12-30,144304167
2009-12-30,145924797
2010-12-30,147575430
2011-12-30,149273778
2012-12-30,151007807
2013-12-30,152764676
2014-12-30,154520167
2015-12-30,156256276
2016-12-30,157970840
