Date,Dengue
2008-1-30,0
2008-2-30,0
2008-3-30,0
2008-4-30,0
2008-5-30,0
2008-6-30,0
2008-7-30,160
2008-8-30,473
2008-9-30,334
2008-10-30,184
2008-11-30,0
2008-12-30,0
2009-1-30,0
2009-2-30,0
2009-3-30,0
2009-4-30,0
2009-5-30,1
2009-6-30,0
2009-7-30,4
2009-8-30,125
2009-9-30,188
2009-10-30,154
2009-11-30,0
2009-12-30,0
2010-1-30,0
2010-2-30,0
2010-3-30,0
2010-4-30,0
2010-5-30,0
2010-6-30,0
2010-7-30,61
2010-8-30,183
2010-9-30,120
2010-10-30,45
2010-11-30,0
2010-12-30,0
2011-1-30,0
2011-2-30,0
2011-3-30,0
2011-4-30,0
2011-5-30,0
2011-6-30,61
2011-7-30,255
2011-8-30,691
2011-9-30,193
2011-10-30,114
2011-11-30,36
2011-12-30,9
2012-1-30,0
2012-2-30,0
2012-3-30,0
2012-4-30,0
2012-5-30,0
2012-6-30,10
2012-7-30,129
2012-8-30,122
2012-9-30,246
2012-10-30,107
2012-11-30,27
2012-12-30,0
2013-1-30,6
2013-2-30,7
2013-3-30,3
2013-4-30,3
2013-5-30,12
2013-6-30,50
2013-7-30,172
2013-8-30,339
2013-9-30,385
2013-10-30,501
2013-11-30,218
2013-12-30,53
2014-1-30,15
2014-2-30,7
2014-3-30,2
2014-4-30,0
2014-5-30,8
2014-6-30,9
2014-7-30,82
2014-8-30,80
2014-9-30,76
2014-10-30,63
2014-11-30,22
2014-12-30,11
2015-1-30,0
2015-2-30,0
2015-3-30,2
2015-4-30,6
2015-5-30,10
2015-6-30,28
2015-7-30,171
2015-8-30,765
2015-9-30,965
2015-10-30,869
2015-11-30,271
2015-12-30,75
2016-1-30,13
2016-2-30,3
2016-3-30,17
2016-4-30,38
2016-5-30,70
2016-6-30,254
2016-7-30,926
2016-8-30,1451
2016-9-30,1544
2016-10-30,1077
2016-11-30,522
2016-12-30,145
2017-1-30,92
2017-2-30,58
2017-3-30,36
2017-4-30,73
2017-5-30,134
2017-6-30,267
2017-7-30,286
2017-8-30,346
2017-9-30,430
2017-10-30,512
2017-11-30,409
2017-12-30,126
2018-1-30,26
2018-2-30,7
2018-3-30,19
2018-4-30,29
2018-5-30,52
2018-6-30,295
2018-7-30,946
2018-8-30,1796
2018-9-30,3087
2018-10-30,2406
2018-11-30,1192
2018-12-30,293
2019-1-30,38
2019-2-30,18
2019-3-30,17
2019-4-30,58
2019-5-30,193
2019-6-30,1884
2019-7-30,16253
2019-8-30,52636
2019-9-30,16856
2019-10-30,8143
2019-11-30,4011
2019-12-30,1247
2020-1-30,197
