DATE,LOAN
2003-10-30,57000
2003-11-30,1892400
2003-12-30,2257200
2004-1-30,4377600
2004-2-30,3613800
2004-3-30,6201600
2004-4-30,7307400
2004-5-30,7216200
2004-6-30,8755200
2004-7-30,4035600
2004-8-30,6821200
2004-9-30,5046300
2004-10-30,11044200
2004-11-30,6706400
2004-12-30,8766200
2005-1-30,11682934
2005-2-30,11122000
2005-3-30,15453300
2005-4-30,16929133
2005-5-30,18465200
2005-6-30,18429700
2005-7-30,11244600
2005-8-30,16226900
2005-9-30,19296200
2005-10-30,27426350
2005-11-30,14197400
2005-12-30,33206967
2006-1-30,24063400
2006-2-30,33092000
2006-3-30,39767600
2006-4-30,42839634
2006-5-30,37724466
2006-6-30,37387983
2006-7-30,32948500
2006-8-30,43199250
2006-9-30,50795083
2006-10-30,41309500
2006-11-30,33765400
2006-12-30,55777100
2007-1-30,36378900
2007-2-30,46454483
2007-3-30,54393750
2007-4-30,65873750
2007-5-30,63701875
2007-6-30,63041250
2007-7-30,46938542
2007-8-30,71605000
2007-9-30,85393125
2007-10-30,44615000
2007-11-30,74855625
2007-12-30,71185625
2008-1-30,68095000
2008-2-30,74846875
2008-3-30,85325000
2008-4-30,97318750
2008-5-30,87413750
2008-6-30,91761250
2008-7-30,72423125
2008-8-30,105070625
2008-9-30,105698125
2008-10-30,72110625
2008-11-30,99297500
2008-12-30,59457500
2009-1-30,78530000
2009-2-30,85802500
2009-3-30,100113753
2009-4-30,98138750
2009-5-30,101481250
2009-6-30,90218750
2009-7-30,87411250
2009-8-30,108568125
2009-9-30,75594375
2009-10-30,91171250
2009-11-30,108995000
2009-12-30,77686250
2010-1-30,97217500
2010-2-30,99700625
2010-3-30,106871875
2010-4-30,113988750
2010-5-30,118076250
2010-6-30,112437150
2010-7-30,95253750
2010-8-30,137310000
2010-9-30,71436875
2010-10-30,129272500
2010-11-30,108211875
2010-12-30,131448750
2011-1-30,131209375
2011-2-30,127707500
2011-3-30,143645000
2011-4-30,150005000
2011-5-30,172376875
2011-6-30,156848125
2011-7-30,128115000
2011-8-30,152253750
2011-9-30,116651250
2011-10-30,179541875
2011-11-30,129936875
2011-12-30,170926875
2012-1-30,166200625
2012-2-30,180555000
2012-3-30,195733750
2012-4-30,217131875
2012-5-30,210045000
2012-6-30,198245000
2012-7-30,201337500
2012-8-30,129973750
2012-9-30,199761875
2012-10-30,210450625
2012-11-30,173458750
2012-12-30,203663750
2013-1-30,218003750
2013-2-30,203812500
2013-3-30,192833125
2013-4-30,237993750
2013-5-30,229282500
2013-6-30,255565625
2013-7-30,230408750
2013-8-30,135596250
2013-9-30,251875625
2013-10-30,182468125
2013-11-30,242418125
2013-12-30,229351875
2014-1-30,237541875
2014-2-30,244244375
2014-3-30,227318125
2014-4-30,271093125
2014-5-30,264150000
2014-6-30,288846563
2014-7-30,201682500
2014-8-30,157330625
2014-9-30,293512500
2014-10-30,163539375
2014-11-30,292994375
2014-12-30,278071250
2015-1-30,267266250
2015-2-30,287553750
2015-3-30,296707500
2015-4-30,303134375
2015-5-30,329435625
2015-6-30,374656261
2015-7-30,162072500
2015-8-30,253100000
2015-9-30,293841250
2015-10-30,219948125
2015-11-30,340691875
2015-12-30,335849375
2016-1-30,327171250
2016-2-30,342429375
2016-3-30,376824375
2016-4-30,381333750
2016-5-30,436489375
2016-6-30,502731875
2016-7-30,171850625
2016-8-30,445923750
2016-9-30,389363750
2016-10-30,528763751
2016-11-30,662628150
2016-12-30,623053438
2017-1-30,590849063
2017-2-30,561548125
2017-3-30,583140938
2017-4-30,561431875
2017-5-30,618174271
2017-6-30,453765000
2017-7-30,455556875
2017-8-30,655732813
2017-9-30,401681876
2017-10-30,589591875
2017-11-30,614040625
2017-12-30,617640625
2018-1-30,618410938
2018-2-30,571641250
2018-3-30,612513126
2018-4-30,655284063
2018-5-30,708698125
2018-6-30,420073125
2018-7-30,481708125
2018-8-30,482605940
2018-9-30,483394376
2018-10-30,545965625
2018-11-30,584631250
2018-12-30,587878250
2019-1-30,625430939
2019-2-30,603034188
2019-3-30,661415000
2019-4-30,837725625
2019-5-30,829646250
2019-6-30,410628001
2019-7-30,622145002
2019-8-30,413303750
2019-9-30,651181875
2019-10-30,614305625
2019-11-30,645636875
