YEAR,MONTH,LOAN
2003,10,57000
2003,11,1892400
2003,12,2257200
2004,1,4377600
2004,2,3613800
2004,3,6201600
2004,4,7307400
2004,5,7216200
2004,6,8755200
2004,7,4035600
2004,8,6821200
2004,9,5046300
2004,10,11044200
2004,11,6706400
2004,12,8766200
2005,1,11682934
2005,2,11122000
2005,3,15453300
2005,4,16929133
2005,5,18465200
2005,6,18429700
2005,7,11244600
2005,8,16226900
2005,9,19296200
2005,10,27426350
2005,11,14197400
2005,12,33206967
2006,1,24063400
2006,2,33092000
2006,3,39767600
2006,4,42839634
2006,5,37724466
2006,6,37387983
2006,7,32948500
2006,8,43199250
2006,9,50795083
2006,10,41309500
2006,11,33765400
2006,12,55777100
2007,1,36378900
2007,2,46454483
2007,3,54393750
2007,4,65873750
2007,5,63701875
2007,6,63041250
2007,7,46938542
2007,8,71605000
2007,9,85393125
2007,10,44615000
2007,11,74855625
2007,12,71185625
2008,1,68095000
2008,2,74846875
2008,3,85325000
2008,4,97318750
2008,5,87413750
2008,6,91761250
2008,7,72423125
2008,8,105070625
2008,9,105698125
2008,10,72110625
2008,11,99297500
2008,12,59457500
2009,1,78530000
2009,2,85802500
2009,3,100113753
2009,4,98138750
2009,5,101481250
2009,6,90218750
2009,7,87411250
2009,8,108568125
2009,9,75594375
2009,10,91171250
2009,11,108995000
2009,12,77686250
2010,1,97217500
2010,2,99700625
2010,3,106871875
2010,4,113988750
2010,5,118076250
2010,6,112437150
2010,7,95253750
2010,8,137310000
2010,9,71436875
2010,10,129272500
2010,11,108211875
2010,12,131448750
2011,1,131209375
2011,2,127707500
2011,3,143645000
2011,4,150005000
2011,5,172376875
2011,6,156848125
2011,7,128115000
2011,8,152253750
2011,9,116651250
2011,10,179541875
2011,11,129936875
2011,12,170926875
2012,1,166200625
2012,2,180555000
2012,3,195733750
2012,4,217131875
2012,5,210045000
2012,6,198245000
2012,7,201337500
2012,8,129973750
2012,9,199761875
2012,10,210450625
2012,11,173458750
2012,12,203663750
2013,1,218003750
2013,2,203812500
2013,3,192833125
2013,4,237993750
2013,5,229282500
2013,6,255565625
2013,7,230408750
2013,8,135596250
2013,9,251875625
2013,10,182468125
2013,11,242418125
2013,12,229351875
2014,1,237541875
2014,2,244244375
2014,3,227318125
2014,4,271093125
2014,5,264150000
2014,6,288846563
2014,7,201682500
2014,8,157330625
2014,9,293512500
2014,10,163539375
2014,11,292994375
2014,12,278071250
2015,1,267266250
2015,2,287553750
2015,3,296707500
2015,4,303134375
2015,5,329435625
2015,6,374656261
2015,7,162072500
2015,8,253100000
2015,9,293841250
2015,10,219948125
2015,11,340691875
2015,12,335849375
2016,1,327171250
2016,2,342429375
2016,3,376824375
2016,4,381333750
2016,5,436489375
2016,6,502731875
2016,7,171850625
2016,8,445923750
2016,9,389363750
2016,10,528763751
2016,11,662628150
2016,12,623053438
2017,1,590849063
2017,2,561548125
2017,3,583140938
2017,4,561431875
2017,5,618174271
2017,6,453765000
2017,7,455556875
2017,8,655732813
2017,9,401681876
2017,10,589591875
2017,11,614040625
2017,12,617640625
2018,1,618410938
2018,2,571641250
2018,3,612513126
2018,4,655284063
2018,5,708698125
2018,6,420073125
2018,7,481708125
2018,8,482605940
2018,9,483394376
2018,10,545965625
2018,11,584631250
2018,12,587878250
2019,1,625430939
2019,2,603034188
2019,3,661415000
2019,4,837725625
2019,5,829646250
2019,6,410628001
2019,7,622145002
2019,8,413303750
2019,9,651181875
2019,10,614305625
2019,11,645636875
